entity_type,code,name,slug,url,region_code,province_code,category,is_active,sort_order,keywords
country,AFG,Afghanistan,afghanistan,/afghanistan,,,,1,0,afghanistan afg
region,CENTRAL,Central Highlands,central,/regions/central,CENTRAL,,,1,1,Central Highlands CENTRAL
region,NORTH,Northern Afghanistan,north,/regions/north,NORTH,,,1,2,Northern Afghanistan NORTH
region,WEST,Western Afghanistan,west,/regions/west,WEST,,,1,3,Western Afghanistan WEST
region,SOUTH,Southern Afghanistan,south,/regions/south,SOUTH,,,1,4,Southern Afghanistan SOUTH
region,EAST,Eastern Afghanistan,east,/regions/east,EAST,,,1,5,Eastern Afghanistan EAST
province,BDK,Badakhshan,badakhshan,/provinces/badakhshan,NORTH,BDK,,1,0,Badakhshan Faizabad BDK NORTH
province,BDG,Badghis,badghis,/provinces/badghis,WEST,BDG,,1,0,Badghis Qala-e-Naw BDG WEST
province,BAG,Baghlan,baghlan,/provinces/baghlan,NORTH,BAG,,1,0,Baghlan Pul-e-Khumri BAG NORTH
province,BAL,Balkh,balkh,/provinces/balkh,NORTH,BAL,,1,0,Balkh Mazar-e-Sharif BAL NORTH
province,BMY,Bamyan,bamyan,/provinces/bamyan,CENTRAL,BMY,,1,0,Bamyan Bamyan BMY CENTRAL
province,DYK,Daykundi,daykundi,/provinces/daykundi,CENTRAL,DYK,,1,0,Daykundi Nili DYK CENTRAL
province,FRH,Farah,farah,/provinces/farah,WEST,FRH,,1,0,Farah Farah FRH WEST
province,FRY,Faryab,faryab,/provinces/faryab,NORTH,FRY,,1,0,Faryab Maymana FRY NORTH
province,GHZ,Ghazni,ghazni,/provinces/ghazni,CENTRAL,GHZ,,1,0,Ghazni Ghazni GHZ CENTRAL
province,GHO,Ghor,ghor,/provinces/ghor,WEST,GHO,,1,0,Ghor Firozkoh GHO WEST
province,HLM,Helmand,helmand,/provinces/helmand,SOUTH,HLM,,1,0,Helmand Lashkar Gah HLM SOUTH
province,HER,Herat,herat,/provinces/herat,WEST,HER,,1,0,Herat Herat HER WEST
province,JOW,Jowzjan,jowzjan,/provinces/jowzjan,NORTH,JOW,,1,0,Jowzjan Sheberghan JOW NORTH
province,KBL,Kabul,kabul,/provinces/kabul,CENTRAL,KBL,,1,0,Kabul Kabul KBL CENTRAL
province,KDR,Kandahar,kandahar,/provinces/kandahar,SOUTH,KDR,,1,0,Kandahar Kandahar KDR SOUTH
province,KPS,Kapisa,kapisa,/provinces/kapisa,CENTRAL,KPS,,1,0,Kapisa Mahmud-e-Raqi KPS CENTRAL
province,KHT,Khost,khost,/provinces/khost,EAST,KHT,,1,0,Khost Khost KHT EAST
province,KNR,Kunar,kunar,/provinces/kunar,EAST,KNR,,1,0,Kunar Asadabad KNR EAST
province,KDZ,Kunduz,kunduz,/provinces/kunduz,NORTH,KDZ,,1,0,Kunduz Kunduz KDZ NORTH
province,LGM,Laghman,laghman,/provinces/laghman,EAST,LGM,,1,0,Laghman Mehtarlam LGM EAST
province,LGR,Logar,logar,/provinces/logar,CENTRAL,LGR,,1,0,Logar Pul-e-Alam LGR CENTRAL
province,NGH,Nangarhar,nangarhar,/provinces/nangarhar,EAST,NGH,,1,0,Nangarhar Jalalabad NGH EAST
province,NIM,Nimroz,nimroz,/provinces/nimroz,SOUTH,NIM,,1,0,Nimroz Zaranj NIM SOUTH
province,NRS,Nuristan,nuristan,/provinces/nuristan,EAST,NRS,,1,0,Nuristan Parun NRS EAST
province,PTA,Paktia,paktia,/provinces/paktia,EAST,PTA,,1,0,Paktia Gardez PTA EAST
province,PTK,Paktika,paktika,/provinces/paktika,EAST,PTK,,1,0,Paktika Sharana PTK EAST
province,PJR,Panjshir,panjshir,/provinces/panjshir,CENTRAL,PJR,,1,0,Panjshir Bazarak PJR CENTRAL
province,PRW,Parwan,parwan,/provinces/parwan,CENTRAL,PRW,,1,0,Parwan Charikar PRW CENTRAL
province,SAM,Samangan,samangan,/provinces/samangan,NORTH,SAM,,1,0,Samangan Aybak SAM NORTH
province,SEP,Sar-e-Pol,sar-e-pol,/provinces/sar-e-pol,NORTH,SEP,,1,0,Sar-e-Pol Sar-e-Pol SEP NORTH
province,TKH,Takhar,takhar,/provinces/takhar,NORTH,TKH,,1,0,Takhar Taloqan TKH NORTH
province,URZ,Uruzgan,uruzgan,/provinces/uruzgan,SOUTH,URZ,,1,0,Uruzgan Tarin Kot URZ SOUTH
province,WRD,Wardak,wardak,/provinces/wardak,CENTRAL,WRD,,1,0,Wardak Maidan Shar WRD CENTRAL
province,ZBL,Zabul,zabul,/provinces/zabul,SOUTH,ZBL,,1,0,Zabul Qalat ZBL SOUTH
attraction,KBL-011,Kabul Zoo,kabul-zoo,/attractions/kabul-zoo,CENTRAL,KBL,Urban,1,3,Kabul Zoo KBL-011 KBL Urban
attraction,NIM-001,Nimroz Citadel,nimroz-citadel,/attractions/nimroz-citadel,SOUTH,NIM,Landmarks,1,3,Nimroz Citadel NIM-001 NIM Landmarks
attraction,PTK-001,Paktika Highlands,paktika-highlands-villages,/attractions/paktika-highlands-villages,EAST,PTK,Rural,1,3,Paktika Highlands PTK-001 PTK Rural
attraction,NIM-002,Qala Muhammad,qala-muhammad,/attractions/qala-muhammad,SOUTH,NIM,Landmarks,1,3,Qala Muhammad NIM-002 NIM Landmarks
attraction,ZBL-001,Shahjoy & Qalat Valleys,shahjoy-qalat-valleys,/attractions/shahjoy-qalat-valleys,SOUTH,ZBL,Rural,1,3,Shahjoy & Qalat Valleys ZBL-001 ZBL Rural
attraction,URZ-001,Tarin Kot Surroundings,tarin-kot-surroundings,/attractions/tarin-kot-surroundings,SOUTH,URZ,Rural,1,3,Tarin Kot Surroundings URZ-001 URZ Rural
attraction,LGM-001,Alingar Valley,alingar-valley,/attractions/alingar-valley,EAST,LGM,Rural,1,4,Alingar Valley LGM-001 LGM Rural
attraction,BDG-001,Badghis Hills & Nomadic Pastures,badghis-hills-nomadic-pastures,/attractions/badghis-hills-nomadic-pastures,WEST,BDG,Rural,1,4,Badghis Hills & Nomadic Pastures BDG-001 BDG Rural
attraction,KBL-010,Bala Hissar,bala-hissar-kabul,/attractions/bala-hissar-kabul,CENTRAL,KBL,Landmarks,1,4,Bala Hissar KBL-010 KBL Landmarks
attraction,NGH-002,Darunta Lake,darunta-lake-reservoir,/attractions/darunta-lake-reservoir,EAST,NGH,Nature & Adventure,1,4,Darunta Lake NGH-002 NGH Nature & Adventure
attraction,FRY-001,Faryab Cultural Villages,faryab-cultural-villages,/attractions/faryab-cultural-villages,NORTH,FRY,Rural,1,4,Faryab Cultural Villages FRY-001 FRY Rural
attraction,PTA-001,Gardez & Zurmat Highlands,gardez-zurmat-highlands,/attractions/gardez-zurmat-highlands,EAST,PTA,Rural,1,4,Gardez & Zurmat Highlands PTA-001 PTA Rural
attraction,KBL-016,Ghazi Olympic Stadium,ghazi-olympic-stadium,/attractions/ghazi-olympic-stadium,CENTRAL,KBL,Urban,1,4,Ghazi Olympic Stadium KBL-016 KBL Urban
attraction,NIM-003,Kamal Khan Dam,kamal-khan-dam,/attractions/kamal-khan-dam,SOUTH,NIM,Urban,1,4,Kamal Khan Dam NIM-003 NIM Urban
attraction,KHT-001,Khost City Scenery,khost-city-tani-district-scenery,/attractions/khost-city-tani-district-scenery,EAST,KHT,Urban,1,4,Khost City Scenery KHT-001 KHT Urban
attraction,KDZ-001,Kunduz City & Farmlands,kunduz-city-farmlands,/attractions/kunduz-city-farmlands,NORTH,KDZ,Rural,1,4,Kunduz City & Farmlands KDZ-001 KDZ Rural
attraction,LGR-001,Logar Valleys,logar-valleys,/attractions/logar-valleys,CENTRAL,LGR,Rural,1,4,Logar Valleys LGR-001 LGR Rural
