tour_code,tour_slug,day_number,attraction_code
ADTF,afghanistan-discovery-tour-fall,1,KBL-013
ADTF,afghanistan-discovery-tour-fall,1,KBL-004
ADTF,afghanistan-discovery-tour-fall,1,KBL-015
ADTF,afghanistan-discovery-tour-fall,1,KBL-003
ADTF,afghanistan-discovery-tour-fall,2,PJR-001
ADTF,afghanistan-discovery-tour-fall,2,PJR-002
ADTF,afghanistan-discovery-tour-fall,2,PRW-002
ADTF,afghanistan-discovery-tour-fall,2,KBL-016
ADTF,afghanistan-discovery-tour-fall,3,BMY-001
ADTF,afghanistan-discovery-tour-fall,3,BMY-002
ADTF,afghanistan-discovery-tour-fall,3,BMY-003
ADTF,afghanistan-discovery-tour-fall,4,BMY-004
ADTF,afghanistan-discovery-tour-fall,5,WRD-001
ADTF,afghanistan-discovery-tour-fall,5,GHZ-001
ADTF,afghanistan-discovery-tour-fall,6,GHZ-002
ADTF,afghanistan-discovery-tour-fall,6,GHZ-003
ADTF,afghanistan-discovery-tour-fall,6,GHZ-004
ADTF,afghanistan-discovery-tour-fall,7,KBL-001
ADTF,afghanistan-discovery-tour-fall,7,KBL-002
ADTF,afghanistan-discovery-tour-fall,7,KBL-003
ADTF,afghanistan-discovery-tour-fall,7,KBL-006
ADTF,afghanistan-discovery-tour-fall,8,KBL-015
ADTF,afghanistan-discovery-tour-fall,8,KBL-009
ADTF,afghanistan-discovery-tour-fall,8,KBL-005
ADTF,afghanistan-discovery-tour-fall,8,KBL-007
ADTS,afghanistan-discovery-tour-spring,1,KBL-004
ADTS,afghanistan-discovery-tour-spring,1,KBL-003
ADTS,afghanistan-discovery-tour-spring,1,KBL-015
ADTS,afghanistan-discovery-tour-spring,1,KBL-013
ADTS,afghanistan-discovery-tour-spring,2,KBL-016
ADTS,afghanistan-discovery-tour-spring,2,PJR-001
ADTS,afghanistan-discovery-tour-spring,2,PJR-002
ADTS,afghanistan-discovery-tour-spring,2,PRW-002
ADTS,afghanistan-discovery-tour-spring,3,BMY-003
ADTS,afghanistan-discovery-tour-spring,3,BMY-002
ADTS,afghanistan-discovery-tour-spring,3,BMY-001
ADTS,afghanistan-discovery-tour-spring,4,BMY-004
ADTS,afghanistan-discovery-tour-spring,5,WRD-001
ADTS,afghanistan-discovery-tour-spring,5,GHZ-002
ADTS,afghanistan-discovery-tour-spring,6,GHZ-001
ADTS,afghanistan-discovery-tour-spring,6,GHZ-003
ADTS,afghanistan-discovery-tour-spring,6,GHZ-004
ADTS,afghanistan-discovery-tour-spring,7,KBL-015
ADTS,afghanistan-discovery-tour-spring,7,KBL-009
ADTS,afghanistan-discovery-tour-spring,7,KBL-005
ADTS,afghanistan-discovery-tour-spring,7,KBL-007
ADTS,afghanistan-discovery-tour-spring,8,KBL-001
ADTS,afghanistan-discovery-tour-spring,8,KBL-002
ADTS,afghanistan-discovery-tour-spring,8,KBL-003
ADTS,afghanistan-discovery-tour-spring,8,KBL-006
BSKI,bamyan-skiing-tour,1,KBL-015
BSKI,bamyan-skiing-tour,1,KBL-009
BSKI,bamyan-skiing-tour,1,KBL-001
BSKI,bamyan-skiing-tour,1,KBL-002
BSKI,bamyan-skiing-tour,1,KBL-005
BSKI,bamyan-skiing-tour,1,KBL-007
BSKI,bamyan-skiing-tour,2,BMY-003
BSKI,bamyan-skiing-tour,2,BMY-002
BSKI,bamyan-skiing-tour,2,BMY-001
BSKI,bamyan-skiing-tour,3,BMY-005
BSKI,bamyan-skiing-tour,4,KBL-006
BUZE,buzkashi-expedition,1,KBL-013
BUZE,buzkashi-expedition,1,KBL-007
BUZE,buzkashi-expedition,2,KBL-004
BUZE,buzkashi-expedition,2,KBL-015
BUZE,buzkashi-expedition,3,PRW-001
